Region,CalendarYear,Month,Days,Kilograms
Mapstone - Far northern,1999,06 - June,N/A,N/A
Mapstone - Far northern,1999,08 - August,N/A,N/A
Mapstone - Far northern,1999,09 - September,N/A,N/A
Mapstone - Far northern,1999,10 - October,N/A,N/A
Mapstone - Far northern,1999,11 - November,N/A,N/A
Mapstone - Far northern,1999,12 - December,N/A,N/A
Mapstone - Far northern,1999 Total,,43,43.32
Mapstone - Far northern,2000,01 - January,N/A,N/A
Mapstone - Far northern,2000,04 - April,N/A,N/A
Mapstone - Far northern,2000,05 - May,N/A,N/A
Mapstone - Far northern,2000,06 - June,N/A,N/A
Mapstone - Far northern,2000,07 - July,N/A,N/A
Mapstone - Far northern,2000,08 - August,N/A,N/A
Mapstone - Far northern,2000,09 - September,N/A,N/A
Mapstone - Far northern,2000,10 - October,20,4
Mapstone - Far northern,2000,11 - November,N/A,N/A
Mapstone - Far northern,2000,12 - December,N/A,N/A
Mapstone - Far northern,2000 Total,,116,67
Mapstone - Far northern,2001,01 - January,N/A,N/A
Mapstone - Far northern,2001,04 - April,N/A,N/A
Mapstone - Far northern,2001,05 - May,12,30
Mapstone - Far northern,2001,06 - June,9,19
Mapstone - Far northern,2001,07 - July,N/A,N/A
Mapstone - Far northern,2001,08 - August,N/A,N/A
Mapstone - Far northern,2001,09 - September,N/A,N/A
Mapstone - Far northern,2001,10 - October,N/A,N/A
Mapstone - Far northern,2001,11 - November,N/A,N/A
Mapstone - Far northern,2001 Total,,68,65.5
Mapstone - Far northern,2002,04 - April,N/A,N/A
Mapstone - Far northern,2002,05 - May,N/A,N/A
Mapstone - Far northern,2002,06 - June,N/A,N/A
Mapstone - Far northern,2002,07 - July,N/A,N/A
Mapstone - Far northern,2002,08 - August,30,9
Mapstone - Far northern,2002,09 - September,20,9
Mapstone - Far northern,2002,10 - October,N/A,N/A
Mapstone - Far northern,2002,11 - November,24,71
Mapstone - Far northern,2002,12 - December,N/A,N/A
Mapstone - Far northern,2002 Total,,122,254.68
Mapstone - Far northern,2003,03 - March,N/A,N/A
